@relation sheep_weight

@attribute K_0_19 numeric
@attribute K_20_39 numeric
@attribute K_40_59 numeric
@attribute K_60_79 numeric
@attribute K_80_99 numeric
@attribute K_100_119 numeric
@attribute K_120_139 numeric
@attribute K_140_159 numeric
@attribute K_160_180 numeric
@attribute Major_axis numeric
@attribute Minor_axis numeric
@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute Area numeric
@attribute Perimeter numeric
@attribute Weight numeric

@data
0,32,44,32,116,103,249,879,3321,1045.743053126044,389.5458321464611,0.0010224353088631993,5.97935086777372e-07,1.0987174993868354e-10,3.814536813559188e-11,2.382459036388642e-21,2.4342914726593466e-14,-6.49789724090497e-22,297259.5,2917.662241578102,44.1
0,0,0,50,100,153,421,463,2983,943.1873195857612,330.53514607205096,0.0010305072133705972,6.481478032178357e-07,2.6223849677770617e-11,1.2082320610193758e-11,2.142602863984002e-22,9.375308991181593e-15,-1.8610209005906438e-23,236469.0,2470.895653963089,31.8
0,0,0,23,64,92,428,644,2785,918.4893318393674,334.0406024260414,0.0009989804612357332,5.861235522476058e-07,1.9776491497143282e-11,7.324129048098854e-12,8.625118128639595e-23,4.860073591621396e-15,1.8184212596219245e-23,233298.5,2383.3393050432205,31.8
0,0,0,56,142,107,283,485,2908,879.3129147196696,338.08104125161515,0.0009751291387107199,5.241147123358182e-07,3.6199563627185144e-11,1.2169785905964745e-11,2.375439981261776e-22,6.422400280208245e-15,-9.39073330934774e-23,222020.0,2413.630716085434,31.8
0,0,32,57,114,145,202,367,2575,744.5798344063958,366.51461652633344,0.0008165454270371542,2.4802500391362817e-07,2.161353306873456e-11,1.8753234318344474e-12,-6.180420401243151e-24,-7.247993037613188e-16,1.0215094913969186e-23,205793.0,2143.9250915050507,31.8
0,0,0,1,65,161,451,573,2761,916.5906743689542,330.8840088975266,0.0009961935444552628,5.87501652919825e-07,1.150003852983113e-11,5.179056111454956e-12,3.9947203376626134e-23,3.966204795106942e-15,1.3261778054182518e-24,232576.5,2384.2266072034836,31.8
0,0,77,35,99,173,384,746,2918,960.359693675089,333.51313205098023,0.0010573833396541347,6.885434711284365e-07,3.224726751858935e-11,1.1494870335094466e-11,2.0958677673894992e-22,6.9916652408660166e-15,-7.107633790895086e-23,238391.5,2682.441898226738,31.8
0,0,28,71,95,120,217,546,2661,742.763672139084,375.5759771985805,0.0008209140569891095,2.3678789390914984e-07,3.801018869713359e-11,3.0826625150128575e-12,-2.755885601042215e-23,-1.4358782665831272e-15,-1.8814304243971383e-23,205860.0,2211.9250915050507,31.8
0,0,0,34,119,180,368,489,3095,954.4456206214905,330.61143111367403,0.0010468542619837282,6.765892196225531e-07,2.929234851927643e-11,1.5644384030555707e-11,3.3486544281831495e-22,1.2868210991655887e-14,-4.792186290424827e-24,237749.5,2514.9961591959,31.8
0,25,55,28,107,161,345,805,2776,930.0895683477715,357.18906247154496,0.000996190934689982,5.477669883252698e-07,6.374301686987744e-11,1.6261697929220347e-11,4.332610036033232e-22,6.165148037894678e-15,2.93935899515617e-22,243071.0,2644.6845388412476,31.8
