@relation sheep_weight

@attribute Eucl_A_B real
@attribute Eucl_A_C real
@attribute Eucl_A_D real
@attribute Eucl_B_C real
@attribute Eucl_B_D real
@attribute Eucl_C_D real
@attribute EquivalentDiameter real
@attribute AspectRatio real
@attribute Extent real
@attribute Solidity real
@attribute Area real
@attribute Perimeter real
@attribute K_0_19 real
@attribute K_20_39 real
@attribute K_40_59 real
@attribute K_60_79 real
@attribute K_80_99 real
@attribute K_100_119 real
@attribute K_120_139 real
@attribute K_140_159 real
@attribute K_160_180 real
@attribute Hu_0 real
@attribute Hu_1 real
@attribute Hu_2 real
@attribute Hu_3 real
@attribute Hu_4 real
@attribute Hu_5 real
@attribute Hu_6 real
@attribute Major_axis real
@attribute Minor_axis real
@attribute Weight real
@data
1030.9767213666853,403.0707133990263,447.4751389742228,659.4035183406288,781.8625198844104,446.1614057714988,655.5125485266143,2.29082774049217,0.7373003180928411,0.9237163459498814,337483.0,2891.8804969787598,0,0,3,59,114,191,367,836,3139,0.0009309079272611202,4.4547247465973814e-07,4.808974854779207e-11,1.6355476807019518e-11,4.459386613643126e-22,9.76875869755398e-15,1.0741026909597503e-22,1050.9692814684822,426.6982724094555,47.5
904.2842473470386,714.08472886626,471.00955404322747,300.8870219866586,630.9675110494993,611.2356337780054,628.9618271963137,1.8559670781893005,0.7087542087542088,0.9191949374428643,310698.0,2602.4835283756256,0,0,0,17,151,166,350,557,2739,0.0008237374367588008,2.611429314185705e-07,2.6656727646074076e-11,6.0471038715062885e-12,6.815028512684742e-23,2.2251489565720397e-15,3.5356297848365635e-23,921.4577838948597,446.0145913643656,47.5
843.2016366208026,421.4320823098308,397.7247792129628,590.9890015897081,528.7513593363142,465.02688094345683,615.3412780645841,1.8090128755364807,0.757021978525499,0.9610769444561146,297387.0,2384.8367788791656,0,0,0,30,70,100,92,866,2841,0.0007704170339553338,1.9530076236375154e-07,1.1044322972451484e-11,1.6945082594312046e-12,6.977791045184244e-24,6.567833327414434e-16,-2.2465596249492986e-24,859.1258772964151,447.20199706986403,47.5
830.7117430252205,340.02646955788606,472.5187826954607,566.2578917772361,534.4642176984349,466.06866446908873,603.6585990295284,1.7558886509635974,0.7473807907243954,0.9676947083157935,286202.0,2300.032737016678,0,0,0,0,19,42,286,628,2795,0.0007549320390508691,1.730719849401754e-07,9.036482818473763e-12,1.3059234104389235e-12,4.47753953683537e-24,5.416007831085539e-16,2.7822962464267643e-25,828.2805535855439,445.60705746836595,47.5
1041.1387995843781,865.9982678966512,454.875807226544,293.4024539774676,706.6441820322304,652.0375756043512,649.7930910723061,1.9287054409005628,0.6052290098626817,0.8884279420412549,331619.5,2836.750554203987,0,0,0,64,101,88,313,1000,3146,0.000888100281848657,3.645620239582493e-07,1.8709680808412235e-11,4.001908803234621e-12,2.554779112572989e-23,6.30507690454094e-16,2.337616280016319e-23,1006.4951352656178,439.3794862529575,47.5
1006.9379325459936,499.8959891817497,426.39183857104956,613.4525246504411,681.1593058895987,465.56846972276804,648.9985366349407,2.148068669527897,0.7091813765633508,0.9404876301379989,330809.0,2665.914986848831,0,0,0,0,55,125,306,802,3025,0.0008879619006279572,3.8379260818044487e-07,2.5305529156308545e-11,7.730213695415065e-12,1.0772903949247817e-22,4.6574344159612274e-15,-9.15380857158908e-24,1010.4069090219986,426.3879870595339,47.5
1063.508345054236,910.9753015312764,454.6702101523697,256.03515383634334,723.1355336311444,668.2462121104766,644.3133970056031,2.2643923240938166,0.6546163452310683,0.8781072419272307,326050.0,2856.826674222946,0,0,3,66,40,78,351,1053,3199,0.0009204201471180183,4.2486576631861797e-07,2.2309005188583298e-11,6.654680287577908e-12,7.194645840548573e-23,2.618080537152086e-15,3.7392417782804326e-23,1024.598665690384,423.49671208468146,47.5
1018.4890770155564,832.1856763968003,413.80671816682724,229.92390045404153,791.7095426985834,682.8418557762844,652.6003130232235,1.8809073724007561,0.6354855563260537,0.8925460394038326,334491.0,2806.5079135894775,0,0,1,65,44,93,226,829,3342,0.0008632167866518343,3.1251739953040704e-07,2.7931221828764254e-11,5.058105678315538e-12,3.4254747065842777e-23,1.491484121150809e-16,4.9408068734105085e-23,986.9315535590382,456.4229888451177,47.5
926.063712710956,381.1836827567518,466.99892933496113,640.7846752224963,593.8097338373631,469.0682253148256,629.6664128036635,1.9446808510638298,0.7248812793891708,0.9416792669650418,311394.5,2571.731221318245,0,0,0,17,125,100,290,677,3027,0.0008266957268167916,2.732509152784642e-07,3.20329214306107e-11,7.365419202549379e-12,1.1044873828836433e-22,3.540550738118905e-15,-2.4504222879927174e-23,927.5399295266285,440.2170530423385,47.5
889.3784346384839,377.4506590271105,461.9004221691078,598.1011620119125,592.2516357090118,476.08507643067327,626.3363309824672,1.8616352201257862,0.7274007498064102,0.933113766107906,308109.5,2519.6723462343216,0,0,0,45,57,101,313,844,2684,0.000794309849076035,2.2393491903223386e-07,2.335480700090232e-11,4.32641828139616e-12,4.090788185943702e-23,1.7157718240420721e-15,-1.4759782896237198e-23,894.1694696870557,450.04510474086294,47.5
