@relation sheep_weight

@attribute Major_axis numeric
@attribute Minor_axis numeric
@attribute Area numeric
@attribute Perimeter numeric
@attribute Weight numeric
@data
1072.8714118714615,416.54547487794423,327148.0,3229.1353302001953,47.5
1098.099665760829,415.13917006474264,332845.0,3307.5760169029236,47.5
997.3662521311802,434.97859303846053,320276.0,2925.3363406658173,47.5
1041.9623541689161,410.2063086306259,316598.5,3101.686626791954,47.5
1102.3529974194455,417.61189161164924,332176.5,3241.225730776787,47.5
1107.0583896640235,417.9789890972849,335337.0,3299.433881521225,47.5
1011.6713569471825,436.24905454694664,321316.0,3158.1546630859375,47.5
1037.0224037298976,335.97468630305923,253072.0,2704.4002680778503,37.7
994.4010794978327,318.1806841739348,231336.0,2681.22869515419,37.7
862.2338594802982,332.4702239728813,215171.0,2400.6601536273956,37.7
1015.2966255370575,327.9679205091978,242047.0,2640.674434185028,37.7
1111.4994270055329,317.96343800774673,255086.5,2981.0937000513077,37.7
945.1518540379924,364.9800127926158,239829.0,2886.3312883377075,37.7
874.1993229149134,331.1939166109162,217346.5,2374.902794241905,37.7
1075.047924215447,343.5232826070257,253545.0,2983.3952157497406,37.7
1060.3275314284003,347.99252858795523,254975.5,2980.8094292879105,37.7
1119.1021916066968,324.2787129463813,259367.0,3068.321183681488,37.7
967.9180688493574,363.8814309416344,236806.0,2772.365778207779,37.7
970.8737602178747,346.38905991389083,239428.0,2791.5129659175873,37.7
918.4292815912685,359.7150286368181,231906.5,2564.0987523794174,37.7
1122.7261462448591,317.7874064937612,259251.5,3058.5394390821457,37.7
1042.5881932695954,306.05033268823274,235188.0,2766.115997314453,37.7
1053.7526696306431,324.40025816595585,246712.0,2910.591173887253,37.7
1036.391273798415,342.31886497839105,254335.5,2828.8094292879105,34.5
869.5363575949135,392.2535310605276,239426.5,2718.4317935705185,34.5
947.6443235416896,356.0271462545426,245936.0,2576.6845388412476,34.5
881.6831552705899,369.49465827445005,227626.0,2487.630716085434,34.5
1018.6556379776063,342.8679835516941,253585.5,2861.530210852623,34.5
1046.815297415301,329.27182272785,253912.5,2793.7211166620255,34.5
1044.0768696535683,330.3517110121251,253461.0,2838.0226323604584,34.5
949.7143516830316,387.395264038717,251974.5,2791.578981280327,34.5
1047.468861813149,328.76832167586656,252432.5,2843.578981280327,34.5
1060.584817686961,327.32225498834373,254966.5,2881.578981280327,34.5
963.1646618900899,367.7543980087376,246653.5,2666.868304371834,34.5
953.5113703409008,378.88560311434327,249226.0,2697.1353302001953,34.5
1037.4113658457968,340.8705365922042,253482.5,2874.750554203987,34.5
1060.3916579415638,325.30329022565235,255358.0,2815.1353302001953,34.5
1044.9489683289792,326.47254152600505,252766.5,2785.578981280327,34.5
1039.657231017737,336.8695255579645,253426.5,2805.9810022115707,34.5
1112.743445295992,410.9202700279733,348971.0,2979.7972366809845,50.1
1044.3811098581252,466.58934024639416,344407.5,3079.510001540184,50.1
1058.6460281503032,472.44587619839297,349745.5,3172.906970143318,50.1
1054.4869556752265,474.1396374013947,349604.5,3155.735397219658,50.1
1089.9925898903962,408.8942863025166,338784.5,2817.99110686779,50.1
1049.7442107656123,461.4740024510027,342655.0,2972.1302778720856,50.1
1053.6907020847964,473.1051347742851,348639.0,3174.6643295288086,50.1
1108.7864910452524,420.7388281522242,349399.5,2925.4124606847763,50.1
1125.6217336229934,413.94297546148044,350417.5,2942.1576274633408,50.1
1083.1303863713104,424.00529645686623,342032.0,2870.944424390793,50.1
1063.39206587693,460.961312127012,347866.5,3106.8338145017624,50.1
1125.9739584628799,423.01143466642395,356129.5,2970.8338145017624,50.1
1080.270682498064,428.29913523026755,343714.5,2828.5007733106613,50.1
1049.2220643350072,467.23466559239097,345324.0,3148.6643295288086,50.1
1106.16508958818,421.64523746210625,349121.5,2929.0937000513077,50.1
1113.4629137789943,423.76198463843616,353136.5,2932.064262509346,50.1
1066.2186127195764,460.89848522234405,345260.0,3170.983090162277,37.7
1057.7420375200247,471.6537592043385,347523.0,3250.321183681488,37.7
1026.2379746823149,403.77599053510096,313865.0,2731.076455116272,37.7
1054.0505862196123,408.14608914038564,322472.0,2865.326236009598,37.7
1076.073662256497,413.58043084003947,334152.0,2870.1058926582336,37.7
981.8339262831915,420.3898415806692,315641.5,2663.0937000513077,37.7
1079.4834397387372,459.12029179556674,349216.0,3262.747589826584,37.7
1051.9303091548827,405.5683594593259,322625.5,2881.6277517080307,37.7
1063.16646499655,451.3067418790762,341381.0,3114.497808933258,37.7
1081.6803109334792,397.9527469409847,330507.0,2796.0226323604584,37.7
909.1278962939084,455.7923645990185,308691.5,2700.4074083566666,37.7
1024.8841153779722,457.6971240388671,339724.0,2844.9343197345734,37.7
1028.7474174035015,398.5290887552753,311712.5,2760.1475228071213,37.7
923.672617532917,446.8889882665103,307936.5,2717.353585600853,37.7
1053.6293495211505,409.12762537681726,323540.0,2874.6399443149567,37.7
1045.3218688862917,403.5576218384143,318086.0,2814.1546630859375,37.7
999.6201642497628,373.2269924696319,278869.0,2710.05712223053,37.5
801.6133328639644,392.1947648175528,242969.5,2246.7362736463547,37.5
944.4557435657683,386.60638750297875,274259.0,2601.7139763832092,37.5
1003.8877576211524,377.60756114624473,282819.0,2824.6012785434723,37.5
992.973299240366,376.36731757241324,279342.0,2652.05712223053,37.5
1001.823442934479,371.0614157713941,282891.0,2595.2387998104095,37.5
980.0424498019088,390.131809642174,283133.0,2748.7921843528748,37.5
