@relation sheep_weight

@attribute Eucl_A_B real
@attribute Eucl_A_C real
@attribute Eucl_A_D real
@attribute Eucl_B_C real
@attribute Eucl_B_D real
@attribute Eucl_C_D real
@attribute EquivalentDiameter real
@attribute AspectRatio real
@attribute Extent real
@attribute Solidity real
@attribute Area real
@attribute Perimeter real
@attribute K_0_19 real
@attribute K_20_39 real
@attribute K_40_59 real
@attribute K_60_79 real
@attribute K_80_99 real
@attribute K_100_119 real
@attribute K_120_139 real
@attribute K_140_159 real
@attribute K_160_180 real
@attribute Hu_0 real
@attribute Hu_1 real
@attribute Hu_2 real
@attribute Hu_3 real
@attribute Hu_4 real
@attribute Hu_5 real
@attribute Hu_6 real
@attribute Major_axis real
@attribute Minor_axis real
@attribute Weight real
@attribute sheep_number real
@data
936.01923057168,422.4038352098617,420.8432012044391,614.5022375874639,586.0076791305725,401.28045055796076,596.9003142765702,2.3308457711442787,0.7428957135347808,0.8810530591168988,279829.5,2675.99110686779,0,0,0,37,129,139,326,520,3238,0.0009410788115466218,4.632617072023194e-07,3.517137670012377e-11,1.5015893380380712e-11,3.4308598182941896e-22,9.845853719540019e-15,-3.7055701514731666e-23,964.2076665914917,386.40445595151346,37.5,1931.375
968.0960696129284,416.0588900624526,748.0802096032216,671.4201367251358,260.18839328455834,536.6907862074772,602.6300127324797,2.3636363636363638,0.7284871811898839,0.8965330273931698,285227.5,2717.329200387001,0,0,0,28,95,180,318,575,3266,0.0009910905122399146,5.56804117693764e-07,4.538502923118936e-11,1.7458842134632505e-11,4.833433689412131e-22,1.1387319447237869e-14,-8.88956236701364e-23,1007.5251688715522,378.2793702557493,37.5,1931.375
936.9679823771995,407.4530647816997,847.2549793303076,685.2919086053768,107.00467279516349,628.8282754456895,597.5042053287665,1.9781181619256019,0.6787145872465676,0.9224569154824627,280396.0,2599.429705619812,0,0,0,32,107,169,359,554,2949,0.0009216142115242478,4.277816926771297e-07,3.7866664227976025e-11,6.378401275512657e-12,6.119106119456647e-23,1.042318436854047e-15,-7.798725264634435e-23,951.2921603243378,392.0088603854125,37.5,1931.375
937.1045832776617,438.5897855627739,819.6999451018647,603.7698236911149,347.6276743874112,651.8013501059967,602.7583519542752,1.763157894736842,0.571823348349552,0.8644961531528392,285349.0,2616.9099345207214,0,0,0,1,56,117,339,623,3091,0.0009295068315137895,4.226414855500359e-07,3.723103971140537e-11,7.075678185958144e-12,6.421508163968579e-23,5.127965200196415e-16,-9.521211981406904e-23,960.81432319764,404.0874891031103,37.5,1931.375
924.106054519718,740.9217232609664,407.1584458168589,332.18217893198306,610.3523572494826,571.44116057561,583.7963813313842,2.064732142857143,0.6459411196911197,0.8927956774064438,267678.0,2524.05712223053,0,0,0,15,149,127,174,577,3086,0.0008896550671331463,3.709904051747466e-07,3.359571109612985e-11,9.751439494199869e-12,1.6588138211070786e-22,4.599722552509888e-15,6.02964410159478e-23,906.5149935853008,392.2185002249768,37.5,1931.375
958.6141037977691,394.89872119316874,765.1280938509577,681.4631317980453,261.19724347703215,580.6548027873359,603.5383623881694,2.0813186813186815,0.6639544193926453,0.9006107158597242,286088.0,2654.1748723983765,0,0,0,24,97,157,255,571,3362,0.0009680185218577026,5.117700973679276e-07,4.515093435008419e-11,1.126343706378445e-11,2.2119646637988556e-22,5.0341218405745884e-15,-1.2485961551748428e-22,993.2253246305461,384.7716153072686,37.5,1931.375
975.2261276237424,824.2117446384758,396.67619036186176,282.8798331447472,694.4134215292789,654.077212567446,607.6345388144537,2.1125541125541125,0.6431066372152437,0.8634101462069704,289984.5,2784.46628344059,0,0,30,54,117,102,343,801,3055,0.0009479142502887875,4.409834164077657e-07,7.525576312743135e-11,1.5411419150878154e-11,3.6545746409005567e-22,3.187869202700165e-15,3.7670495767787714e-22,978.565403919975,410.63245350544287,37.5,1931.375
1192.0419455707085,962.9506737107566,538.0799197145346,310.20315923600776,760.4643318394361,643.6551871926458,692.5578238091256,2.6808988764044943,0.7095802292398542,0.86180051222277,376705.5,3386.314043402672,0,34,16,39,130,175,247,916,3834,0.0010812701222476123,7.284286130114808e-07,9.090227325682513e-11,3.985993601667116e-11,2.355895178689644e-21,2.957157222009903e-14,4.545359147191918e-22,1221.757110946127,419.21765482251527,55.0,1909.550
982.8534987473972,559.4077225065811,1012.040018971582,535.8507254823866,253.4284909002932,686.2084231485359,660.5669847012684,1.7681159420289856,0.6361136478379663,0.9086395759951533,342707.5,2853.128189921379,0,0,16,84,60,44,183,616,3667,0.0009053920427015052,3.724458449167688e-07,4.9809247032553685e-11,4.074424010590432e-12,-5.466063055869039e-23,-2.1130623231040383e-15,1.9526256160066654e-23,1031.2844655462818,455.05754681062945,55.0,1909.550
1289.8934064487655,1175.944301402069,650.8840142452417,255.26456863419176,758.8445163536467,758.4095199824433,708.8785611801603,2.6875,0.6373861434108528,0.8545247083251688,394669.5,3402.799324631691,0,33,53,65,79,126,215,557,4469,0.001105669429376316,7.527820099500276e-07,1.5723586241950705e-10,4.51363896028593e-11,3.281208122527912e-21,2.1166103609706628e-14,1.921579273446917e-21,1262.843819926292,438.6089451761722,55.0,1909.550
