@relation sheep_weight

@attribute Eucl_A_B numeric
@attribute Eucl_A_C numeric
@attribute Eucl_A_D numeric
@attribute Eucl_B_C numeric
@attribute Eucl_B_D numeric
@attribute Eucl_C_D numeric
@attribute EquivalentDiameter numeric
@attribute AspectRadio numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute Area numeric
@attribute Perimeter numeric
@attribute K_0_19 numeric
@attribute K_20_39 numeric
@attribute K_40_59 numeric
@attribute K_60_79 numeric
@attribute K_80_99 numeric
@attribute K_100_119 numeric
@attribute K_120_139 numeric
@attribute K_140_159 numeric
@attribute K_160_180 numeric
@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute Weight numeric
@data
995.3351194447024,413.4077889929023,783.7359249134877,713.7296406903668,276.8284667443,601.295268566118,585.5711701523029,2.113490364025696,0.5842721981042633,0.8442336448305157,269308.0,2689.429705619812,0,0,0,57,84,137,290,684,3035,0.0009626865957646199,4.4510979937327334e-07,1.0333599374550426e-10,1.7604240668596248e-11,3.4287490633072257e-22,-5.348296527462044e-16,-6.679886305949683e-22,43.2
906.3829212865829,908.422809048738,232.44139046219803,128.4445405612866,754.0722777028737,784.5795052128242,566.5283794464366,1.9513274336283186,0.6323043966849277,0.8536706785963439,252077.0,2648.743413925171,0,0,0,35,70,165,272,921,2810,0.00101147630890813,5.856691910888691e-07,3.7775957533199e-11,2.3627902032814456e-11,7.052379414573158e-22,1.7786576424473864e-14,3.0651857619634505e-23,43.2
874.9594276307902,367.4955782046908,735.0108842731514,688.1024633003431,173.0,608.6788972849314,566.362044336999,1.7551867219917012,0.617818290613382,0.8641451898653851,251929.0,2755.7139763832092,0,0,0,39,165,139,412,1156,2746,0.0008719260387300489,2.562517166579861e-07,8.757850236670895e-11,1.1198786799472483e-11,4.082137926442342e-23,-2.708778352817926e-15,-3.4833191842211924e-22,43.2
964.3241156374759,417.48413143495645,330.0802932621092,674.3960260855634,682.9128787773737,393.19206502675,573.1238734955556,2.4680306905370846,0.6837271245511045,0.8927186028243876,257980.5,2659.755606532097,0,41,15,7,89,71,219,848,3043,0.0010042299319052378,5.677999182650149e-07,8.812952981230839e-11,3.1591370623803893e-11,1.6110617136659528e-21,1.967756799267136e-14,-4.278848554930465e-22,43.2
992.3633407175015,760.6608968522045,366.1543390429779,340.4115156689033,719.894436705827,600.2932616646634,572.6743830264318,2.2292134831460673,0.5834903950706778,0.8973554116339592,257576.0,2701.939372062683,0,0,40,16,23,85,438,721,3174,0.0010363124082970509,6.44813949150447e-07,5.4693788442352174e-11,2.702579738999155e-11,1.0338988557991427e-21,2.1010575428770998e-14,1.0334266343107655e-22,43.2
1066.0919284939737,436.972539182956,983.8394177913385,703.3157185787902,261.357992033915,711.0028129339573,599.5145520545019,2.504694835680751,0.6210339198577909,0.8310399849269013,282286.0,2901.3119554519653,116,36,3,93,77,203,194,779,3352,0.0011047415399599984,7.415712246086935e-07,1.5773323256865308e-10,5.1913156755300845e-11,4.296400715833137e-21,2.9401234268951086e-14,-1.899621545678766e-21,43.2
980.809869444634,961.6803003077478,343.48362406379727,120.70211265756701,727.4235355004676,743.9059080286969,577.3812664948057,2.3016627078384797,0.6418142954143777,0.838108148769378,261827.5,2714.9860545396805,0,0,0,14,71,122,227,868,3174,0.0010945708495403552,7.501399000916766e-07,7.32669891113425e-11,4.2686664222066526e-11,2.3807583996146733e-21,3.4881867303191126e-14,1.7552837782772115e-22,43.2
1006.9379325459936,499.8959891817497,426.39183857104956,613.4525246504411,681.1593058895987,465.56846972276804,648.9985366349407,2.148068669527897,0.7091813765633508,0.9404876301379989,330809.0,2665.914986848831,0,0,0,0,55,125,306,802,3025,0.0008879619006279568,3.8379260818044476e-07,2.5305529156329205e-11,7.730213695419251e-12,1.0772903949260988e-22,4.657434415963506e-15,-9.1538085715977e-24,47.5
926.063712710956,381.1836827567518,466.99892933496113,640.7846752224963,593.8097338373631,469.0682253148256,629.6664128036635,1.9446808510638298,0.7248812793891708,0.9416792669650418,311394.5,2571.731221318245,0,0,0,17,125,100,290,677,3027,0.0008266957268167913,2.732509152784645e-07,3.2032921430623736e-11,7.365419202558691e-12,1.1044873828859642e-22,3.540550738122942e-15,-2.4504222879977932e-23,47.5
1018.4890770155564,832.1856763968003,413.80671816682724,229.92390045404153,791.7095426985834,682.8418557762844,652.6003130232235,1.8809073724007561,0.6354855563260537,0.8925460394038326,334491.0,2806.5079135894775,0,0,1,65,44,93,226,829,3342,0.0008632167866518347,3.1251739953040725e-07,2.793122182878961e-11,5.058105678318124e-12,3.4254747065823017e-23,1.4914841211325804e-16,4.94080687342081e-23,47.5
